NAME,WAR,FIP,LOB,BABIP
문승원,3.33,4.24,0.72,0.293
박종훈,2.54,4.77,0.71,0.293
박민호,2.22,4.43,0.82,0.267
서진용,1.09,5.73,0.75,0.26
이건욱,1.06,5.37,0.65,0.267
정수민,1.01,3.1,0.88,0.244
이태양,0.67,4.35,0.69,0.331
조영우,0.55,5.64,0.67,0.321
김정빈,0.28,6.55,0.72,0.26
박희수,0.24,4.64,0.68,0.338
김세현,0.23,5.69,0.68,0.316
윤희상,0.12,4.21,0.67,0.143
서동민,0.09,6.43,0.8,0.32
강지광,0,5.73,0.76,0.462
양선률,-0.01,22.55,1.25,0
김주온,-0.1,7.1,0.7,0.38
이원준,-0.1,6.16,0.69,0.397
윤강민,-0.16,9.55,0.17,0.8
오원석,-0.18,5.2,0.51,0.333
김찬호,-0.19,15.05,0.39,0.5
신재웅,-0.25,7.94,0.61,0.333
핀토,-0.25,5.5,0.65,0.337
정영일,-0.25,7.11,0.68,0.333
킹엄,-0.32,4.77,0.48,0.375
김태훈,-0.44,5.92,0.56,0.283
백승건,-0.6,7.44,0.64,0.346
하재훈,-0.62,5.86,0.58,0.378
김주한,-0.74,6.4,0.58,0.325
김택형,-0.79,6.82,0.49,0.333
뷰캐넌,5.19,4.28,0.78,0.289
최채흥,3.36,4.12,0.71,0.282
라이블리,2.69,4.49,0.71,0.273
오승환,2.6,3.53,0.81,0.302
이승현,1.59,5.59,0.88,0.252
원태인,1.52,5.46,0.71,0.308
임현준,1.12,4.32,0.89,0.288
최지광,0.84,4.13,0.67,0.283
김윤수,0.81,4.98,0.71,0.328
김대우,0.62,5.34,0.68,0.317
허윤동,0.56,6.1,0.71,0.264
노성호,0.33,5.23,0.66,0.258
장필준,0.3,5.6,0.71,0.333
양창섭,0.28,5.2,0.92,0.263
백정현,0.12,5.77,0.63,0.3
이상민,0.05,7.76,0.81,0.342
홍원표,0.05,9.55,1,0.25
홍정우,0.04,5.27,0.63,0.352
정인욱,-0.03,7.67,0.58,0.25
우규민,-0.04,3.67,0.55,0.352
이승민,-0.09,6.85,0.7,0.333
윤성환,-0.16,5.37,0.58,0.288
황동재,-0.35,17.8,0.38,0.875
권오준,-0.38,5.59,0.34,0.365
이재익,-0.43,48.55,-0.14,0.75
심창민,-0.54,6.35,0.53,0.289
장지훈,-0.98,7.7,0.49,0.356
루친스키,5.52,3.83,0.79,0.311
구창모,4.91,2.94,0.91,0.212
송명기,2.22,5.09,0.8,0.277
라이트,1.71,4.32,0.67,0.315
김진성,1.44,2.85,0.77,0.311
홍성민,1.38,4.28,0.95,0.228
임정호,1.04,4.48,0.71,0.275
원종현,0.94,4.17,0.66,0.304
배재환,0.76,6.07,0.78,0.279
김건태,0.48,5.23,0.73,0.294
박정수,0.3,6.12,0.76,0.27
손정욱,0.07,5.3,0.68,0.341
김태경,0.07,4.55,1,0
강동연,0.05,5.13,0.63,0.329
신민혁,0.04,6.55,0.78,0.326
박진우,0.04,4.41,0.59,0.313
소이현,0.02,6.95,0.65,0.2
이호중,0.02,7.24,0.81,0.375
류진욱,0.01,6.88,0.83,0.333
김영규,-0.01,4.95,0.63,0.337
이승헌,-0.02,11.05,0.83,0.333
김태현,-0.05,11.05,0.67,0.4
배민서,-0.06,7.67,0.65,0.296
문경찬,-0.07,5.55,0.46,0.202
임창민,-0.07,4.52,0.65,0.347
홍성무,-0.09,6.41,0.6,0.279
강윤구,-0.15,5.63,0.67,0.386
최성영,-0.16,7.32,0.69,0.271
장현식,-0.18,6.24,0.45,0.306
김진호,-0.24,11.1,0.81,0.273
이재학,-0.53,5.8,0.65,0.318
스트레일리,7.49,3,0.76,0.277
박세웅,1.98,4.97,0.72,0.333
구승민,1.91,4.54,0.75,0.225
노경은,1.66,5.17,0.68,0.279
김원중,1.58,4.29,0.72,0.277
김대우,1.13,3.71,0.72,0.331
오현택,1.03,5.16,0.8,0.269
이인복,0.95,3.99,0.71,0.346
김건국,0.69,3.55,0.71,0.298
최준용,0.53,4.02,0.7,0.326
서준원,0.52,5.34,0.66,0.315
박진형,0.35,4.39,0.73,0.412
샘슨,0.27,4.58,0.64,0.346
고효준,0.14,7.31,0.76,0.225
김유영,0.14,4.23,0.64,0.211
한승혁,0.1,4.41,0.67,0.333
송승준,0.09,4.4,0.68,0.384
이승헌,0.05,3.03,0.48,0.311
강동호,-0.02,7.28,0.68,0.294
진명호,-0.03,5.05,0.57,0.302
박명현,-0.08,8.05,0.5,0.6
정태승,-0.15,13.75,0.43,0.5
최영환,-0.21,8.55,0.69,0.395
박시영,-0.36,6.68,0.59,0.29
장원삼,-0.43,6.02,0.56,0.344
켈리,4.23,4.08,0.76,0.287
정우영,3.08,3.72,0.76,0.226
이민호,1.78,4.47,0.72,0.291
임찬규,1.49,4.33,0.71,0.309
정찬헌,1.49,4.14,0.73,0.314
최동환,1.23,4.19,0.76,0.295
송은범,1.22,4.6,0.75,0.31
윌슨,1.15,4.06,0.67,0.325
이정용,0.71,5.31,0.83,0.286
최성훈,0.64,4,0.78,0.361
고우석,0.63,3.16,0.65,0.327
진해수,0.5,3.45,0.7,0.365
남호,0.21,4.86,0.69,0.222
성재헌,0.08,4.47,0.75,0.353
이찬혁,0.02,10.45,0.91,0.273
한선태,-0.06,9.55,0.6,0.6
문광은,-0.08,6.3,0.53,0.429
백청훈,-0.09,13.3,0.38,0.429
정용운,-0.1,1.75,0.25,0.6
이우찬,-0.11,10.41,0.72,0.5
김지용,-0.14,6.55,0.18,0.364
차우찬,-0.16,5.22,0.68,0.339
이상규,-0.17,5.95,0.71,0.385
김대유,-0.21,5.26,0.14,0.455
김대현,-0.28,6.52,0.7,0.323
김윤식,-0.3,5.1,0.62,0.349
여건욱,-0.34,6.93,0.58,0.318
류원석,-0.58,13.83,0.42,0.438
요키시,5.44,3.18,0.73,0.284
조상우,2.75,2.99,0.84,0.336
